Vin_A,Vin_B,Vin_C,Vin_D,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxe_p,toxm_p,toxref_p,toxp,xj_n,xj_p,ndep_n,ndep_p,Leakage_power
0,0,0,0,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,2.1120526385112842e-10
0,0,0,1,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,5.12162574610471e-10
0,0,1,0,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,5.006539349203002e-10
0,0,1,1,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,8.519786938535118e-10
0,1,0,0,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,4.890373421053399e-10
0,1,0,1,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,9.583748209036024e-10
0,1,1,0,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,9.27414848577469e-10
0,1,1,1,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,3.5579695434006076e-09
1,0,0,0,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,6.385312159119963e-10
1,0,0,1,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,1.278784675474305e-09
1,0,1,0,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,1.2585398055935384e-09
1,0,1,1,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,3.1486023674606784e-09
1,1,0,0,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,1.4476649755392745e-09
1,1,0,1,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,3.641865821258793e-09
1,1,1,0,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,3.949370346830284e-09
1,1,1,1,-12.876839885999864,0.9884286708826486,4.4967790703785986e-08,4.66619547924828e-08,1.2408168287787295e-09,1.286076599014335e-09,1.2797273888985669e-09,1.2386509933188533e-09,1.3227385560383017e-09,1.3893733895698764e-09,1.0131111398269124e-09,1.4265772812583833e-08,1.4263618778177341e-08,3.326752193197998e+18,2.4337593624346757e+18,1.3603125726062047e-08
